id	filename	md5	size	state
01116270-bf0e-44c1-bd77-033592e2a3e4	TCGA-12-0819-01Z-00-DX2.CA37F7BE-86D9-421F-B5A5-87E2BDDF7AAB.svs	3011d5c9214f52ef2cd75f916c757f90	109533596	validated
0148b9eb-68fe-4924-a4fb-b4508c21a1b4	TCGA-12-0819-01Z-00-DX3.F5692549-B432-435C-A200-6622BF084F56.svs	9a76178010a5a897cf5b4e2aa1d3f11d	73621746	validated
0224a7f2-3b00-4141-9154-9ec9b5a5842f	TCGA-BA-4075-01A-01-BS1.c6aafda6-3359-4b33-852f-ec18e1dbe261.svs	f004b83a13817a8a7dd141a48ff646b3	61430025	validated
0368269b-b925-4656-823d-13d336a9ed4c	TCGA-BP-4331-01A-01-TS1.39476b0e-7cbc-4bf8-a761-84d69ae00485.svs	fb8488060c53eef518939d20e0455240	228147515	validated
038c3c60-ab53-47ee-bf90-a2fc49f65fa8	TCGA-CV-7568-01Z-00-DX1.A5A68B1C-3195-44E7-B988-14C51F20353E.svs	af69c6e3c1e7a0b1d4fc8f5ac1e43e5f	1170069995	validated
03bad2df-0154-4630-b4e4-da97f04c2e24	TCGA-CJ-4869-01A-01-BS1.5d433e5d-816a-4604-a6f5-e806a87413da.svs	736b19b27b0566ac60866adbe2b165b7	293959579	validated
052310db-005c-46b3-88d4-f30ac4c596fc	TCGA-A8-A08S.0D293DF8-374D-4681-9B2A-ACC98601AA25.PDF	2a4aea4d90c79734515d5286170f56cf	74884	validated
0806e312-709a-45ce-80fc-91b5e4f91883	TCGA-DB-5270-01A-02-BS2.4cca32d3-c03d-4383-901e-8110fd63415a.svs	03a6095d31bfb60aab237a4cfcb23b0d	87108053	validated
0a9ddad2-bf8f-4dc5-912b-aff08e1a5781	TCGA-A2-A0YT-01A-01-BSA.661675d9-4e62-4472-9102-166b9e1ffe92.svs	1774df8ec2f7dd05b7671a6ca4cd75a4	491835953	validated
0abc18ad-d1d4-440f-943b-de183ae56b46	TCGA-A8-A08F.683AAF99-3B91-4501-B701-C3A4E8439647.PDF	c335e216bb053c0336834ab45f2fd994	73411	validated
0d989443-5f9e-4f8e-b9aa-77dc2a856854	TCGA-FG-8187-01Z-00-DX1.4af1e387-0e5f-43e2-a237-fad93a0209a7.svs	10201310f27d19202dabe8dbda04cb9e	650067343	validated
0dec98aa-fb71-4367-8d39-6a71ae06e442	TCGA-A8-A09K-01Z-00-DX1.41B2DF5F-C0E1-43BB-BAA5-2946A9EC4650.svs	e984afa92734d962f2d34bdf7295c954	1044914964	validated
0efd01df-33bb-4d88-bd8c-3a8305561eb4	TCGA-FG-8187-01A-01-TS1.f85de027-c48d-4996-8955-9ff65e1d0e70.svs	1b3bad916b076dc5f0b80b813057b72c	575480509	validated
103ca059-2cb3-4413-ace5-830e286fcb96	TCGA-CJ-4869-11A-01-TS1.5b0dc4e9-c741-4a6c-b7f2-d357fbf9d4dd.svs	692a704b7018eeb2fbd83ea0efebb43c	195561781	validated
10ac2a8d-951c-4df1-89c1-2eaac55c1485	TCGA-HZ-7918-01A-01-BS1.8ba185af-5bd6-4778-b903-151e5153ec6b.svs	a63cb2efff2698d4441300e873b2d73b	140111747	validated
1123d866-9b24-47e1-a285-20a374d62df0	TCGA-60-2712-01Z-00-DX1.97003dfc-4b37-4491-86e8-0801e6825aae.svs	c6093b0c1f9525507129700a9ee89150	846882785	validated
17e60f74-dba8-4471-b3f7-0b70e5b06951	TCGA-IB-AAUW-01Z-00-DX1.61D22476-3561-48FD-AB26-B9B68FD99899.svs	89ab00ac6cb041daf914c6b26d9760aa	1820414343	validated
195de3c5-06db-4ad6-b0c9-c039b8b451e0	TCGA-22-1017-01A-01-BS1.11cafdf3-8c27-4dbb-a970-8fe234201ce4.svs	8096ab94caf9f8a14474d9976ba0c9a3	73836427	validated
1b78c00c-5a5c-4766-a92b-81383c57e006	TCGA-06-0209-01Z-00-DX4.697ea567-9fed-423c-a332-0d61b81ce9e2.svs	80d9f4d8981a0f4eaec0bd14e15b8cc8	203886743	validated
1c7cb3a6-c6fb-4e98-8e70-80be54ec65ca	TCGA-CJ-4642-11A-01-BS1.a9c7fca9-1244-421a-89de-cc2b25959d3a.svs	d5e96752ab1c5f406c9eb50cfbc9e4cc	432714025	validated
1e58532b-5a20-41bb-b3ab-c35fd4c2c489	TCGA-12-0819.A929B0FF-98A0-49AD-AFAE-B2BC16B7C209.PDF	c0b39e475fe6f5d4989c9b826a09fd0c	88833	validated
1ead5c4c-47f8-423b-b12e-25a0fe229c97	TCGA-US-A77J-01A-01-TSA.CEF5D7EE-01F2-4216-A3F4-9172EFD48B5B.svs	449eb9fa6542ac3c790963dd4b35af67	110862505	validated
2205eb6d-137d-4dcd-8486-4ce996bac67d	TCGA-AA-3562.98738F18-85BD-4AA9-887D-443A1BC00694.PDF	c5ba3bcb17d3d18bae620162d9d5ec79	8518	validated
22254f58-23d2-4cdb-a307-8a18544ad2df	TCGA-12-0819-01A-01-TS1.f94b9687-a5b8-4390-bd23-c913769e45be.svs	68ae97f5166487812be5bcb9e46e1300	242282599	validated
23ac88ea-e587-48bc-9d7f-aaef8cebab0f	TCGA-DB-5270-01A-01-BS1.170dad91-bb8e-47cc-8256-17afdcf85010.svs	415673b1ee500f3575b498ec2c3a9d20	31023861	validated
23e2ba74-3457-4f1a-8c12-ea00af16c49c	TCGA-A2-A0YT-01Z-00-DX1.63CA3E36-B3E4-4D3F-9F80-2703970DBE5B.svs	402a25f50563a0c426f5aa7868365267	1542549997	validated
24e85993-3c0f-474d-86ad-262aa642de6e	TCGA-AA-3562-01A-01-BS1.2bc37a71-647d-4e7e-9e3a-12191942a051.svs	34262ee09cce0fec2651a9074d6f9c32	236882681	validated
2509c048-d422-4e25-aa2f-004cf957075a	TCGA-A8-A08S-01A-01-MS1.12f19cd6-d2de-4cb9-9856-60f68d3d9415.svs	b248370b0a96be2dce88bbdcfb8016c3	411765815	validated
26519a0b-2fb9-4220-b900-7f2a06fe47cd	TCGA-60-2712-11A-01-TS1.338b1505-cac3-4305-a261-bb2ccad4ff1d.svs	33f04550d0e0467cafb19f95b3e0a751	93780743	validated
265bf542-59d5-4522-bb34-ef268c6a5e46	TCGA-BA-4075-01Z-00-DX1.15BAC45A-F648-47AD-85C9-0CCC6504846E.svs	193279be67cff74c3bd10af24a87e128	532157321	validated
294b3541-df0e-414b-9ca4-a6a68e84077f	TCGA-BP-4760-11A-01-TS1.8a6b07bd-cfde-4560-88b0-88dd2a0fded7.svs	729ede810be84aa39fde5cbffd1ac4f4	89867887	validated
29e61fc1-b0c2-4792-9f88-885297d48282	TCGA-21-1083-01A-01-BS1.fe5654ea-6b67-449d-97fb-72d37c50d1cb.svs	0cae49aab7f27bf0b3c819d59b731c8d	310588451	validated
2abdae5c-8432-4ff9-8c03-53bed9d00945	TCGA-21-1083-01A-01-TS1.3badda7d-d569-4e48-8a2c-65085399e24a.svs	6330e6957e2bd1cad9f2a97448377af9	161146109	validated
30ca5238-07e5-4e23-8142-93e83cb3c97a	TCGA-AG-3612.65573346-8277-4269-AA77-97D0F6332F07.PDF	4541d0bd1536b8d463c3293773982324	9959	validated
321a3951-c6ca-4cb9-8fda-99142fdbc8db	TCGA-A8-A084-01A-02-BS2.17dfc662-eae2-414b-96c7-741071b4955b.svs	1fc87bbaa277bbfba2c3d2d3bd5f384e	244236173	validated
324e59d5-c9f8-45ec-aa25-d7004f233706	TCGA-G5-6572-01A-01-TS1.067c0091-e9b0-4691-8264-5036b7a9ed1b.svs	5b895bca0e363a43601ddb251f994252	157220293	validated
356e9722-e07e-4a4d-95c1-5c3a16e124e0	TCGA-A8-A09E-01A-01-BS1.132ec21b-efd0-4a1a-88a1-af3c615e4647.svs	217a16f7ac29d4c313b18e55fd709158	605289055	validated
362e1735-894c-4ecd-aba0-08d447162954	TCGA-G5-6572-01A-01-BS1.a027b669-bea4-41f4-8e03-a26f0c0a61c8.svs	fe43a8de4ff28ea456ab4c79e11e99ec	174948473	validated
