id	filename	md5	size	state
00af0821-adaf-4dd8-98d8-bd788ec11c7e	TCGA-AG-A00H-01A-01-TS1.87de6b74-33aa-4ea3-b5f7-e2f429dfd9a1.svs	82d7ea85935e4ea41da11f2ef5821949	292897591	validated
0368269b-b925-4656-823d-13d336a9ed4c	TCGA-BP-4331-01A-01-TS1.39476b0e-7cbc-4bf8-a761-84d69ae00485.svs	fb8488060c53eef518939d20e0455240	228147515	validated
03bad2df-0154-4630-b4e4-da97f04c2e24	TCGA-CJ-4869-01A-01-BS1.5d433e5d-816a-4604-a6f5-e806a87413da.svs	736b19b27b0566ac60866adbe2b165b7	293959579	validated
103ca059-2cb3-4413-ace5-830e286fcb96	TCGA-CJ-4869-11A-01-TS1.5b0dc4e9-c741-4a6c-b7f2-d357fbf9d4dd.svs	692a704b7018eeb2fbd83ea0efebb43c	195561781	validated
1123d866-9b24-47e1-a285-20a374d62df0	TCGA-60-2712-01Z-00-DX1.97003dfc-4b37-4491-86e8-0801e6825aae.svs	c6093b0c1f9525507129700a9ee89150	846882785	validated
18081e12-b7d5-43b4-ab26-7574b94b98f0	TCGA-05-4245-01A-01-BS1.41d3cf23-4e36-4e42-9e08-adfea139f37e.svs	2724134b4ee0d567b948481d709947b4	85438631	validated
195de3c5-06db-4ad6-b0c9-c039b8b451e0	TCGA-22-1017-01A-01-BS1.11cafdf3-8c27-4dbb-a970-8fe234201ce4.svs	8096ab94caf9f8a14474d9976ba0c9a3	73836427	validated
1b78c00c-5a5c-4766-a92b-81383c57e006	TCGA-06-0209-01Z-00-DX4.697ea567-9fed-423c-a332-0d61b81ce9e2.svs	80d9f4d8981a0f4eaec0bd14e15b8cc8	203886743	validated
1c7cb3a6-c6fb-4e98-8e70-80be54ec65ca	TCGA-CJ-4642-11A-01-BS1.a9c7fca9-1244-421a-89de-cc2b25959d3a.svs	d5e96752ab1c5f406c9eb50cfbc9e4cc	432714025	validated
2205eb6d-137d-4dcd-8486-4ce996bac67d	TCGA-AA-3562.98738F18-85BD-4AA9-887D-443A1BC00694.PDF	c5ba3bcb17d3d18bae620162d9d5ec79	8518	validated
23132d97-3391-4aa0-b7c7-4ad913ae5d00	TCGA-AG-A014-01Z-00-DX1.B1C4F8FA-B049-413B-9759-77FEC8B433C1.svs	74d825080f07292ac04c2f9c4e5970fb	288194984	validated
24e85993-3c0f-474d-86ad-262aa642de6e	TCGA-AA-3562-01A-01-BS1.2bc37a71-647d-4e7e-9e3a-12191942a051.svs	34262ee09cce0fec2651a9074d6f9c32	236882681	validated
